Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1985,AL,Milwaukee Brewers,39,29.9,4.29,161,6158,5568,690,1467,250,44,101,636,69.0,34.0,462,746.0,0.263,0.319,.379,0.698,92,2108,145.0,19.0,54.0,55.0,33.0,1130.0
1985,AL,Minnesota Twins,36,26.3,4.35,162,6128,5509,705,1453,282,41,141,678,68.0,44.0,502,779.0,0.264,0.326,.407,0.733,96,2240,117.0,31.0,39.0,47.0,36.0,1144.0
1985,AL,New York Yankees,39,28.8,5.21,161,6236,5458,839,1458,272,31,176,793,155.0,53.0,620,771.0,0.267,0.344,.425,0.769,112,2320,119.0,50.0,48.0,60.0,50.0,1125.0
1985,AL,Oakland Athletics,36,29.6,4.67,162,6215,5581,757,1475,230,34,155,690,117.0,58.0,508,861.0,0.264,0.325,.401,0.726,105,2238,128.0,16.0,63.0,47.0,29.0,1073.0
1985,AL,Seattle Mariners,42,26.9,4.44,162,6185,5521,719,1410,277,38,171,686,94.0,35.0,564,942.0,0.255,0.326,.412,0.738,101,2276,147.0,31.0,28.0,41.0,36.0,1143.0
1985,AL,Texas Rangers,43,29.1,3.83,161,6005,5361,617,1359,213,41,129,578,130.0,76.0,530,819.0,0.253,0.322,.381,0.703,91,2041,136.0,33.0,34.0,45.0,30.0,1100.0
1985,AL,Toronto Blue Jays,40,27.7,4.71,161,6107,5508,759,1482,281,53,158,714,144.0,77.0,503,807.0,0.269,0.331,.425,0.757,103,2343,121.0,30.0,21.0,44.0,44.0,1067.0
1990,NL,Atlanta Braves,46,27.4,4.21,162,6084,5504,682,1376,263,26,162,636,92.0,55.0,473,1010.0,0.25,0.311,.396,0.706,90,2177,101.0,27.0,49.0,31.0,36.0,1074.0
1990,NL,Chicago Cubs,39,28.2,4.26,162,6149,5600,690,1474,240,36,136,649,151.0,50.0,406,869.0,0.263,0.314,.392,0.706,87,2194,100.0,30.0,61.0,51.0,68.0,1124.0
1990,NL,Cincinnati Reds,40,27.5,4.28,162,6163,5525,693,1466,284,40,125,644,166.0,66.0,466,913.0,0.265,0.325,.399,0.724,95,2205,99.0,42.0,88.0,42.0,73.0,1137.0
1990,NL,Houston Astros,44,28.4,3.54,162,6076,5379,573,1301,209,32,94,536,179.0,83.0,548,997.0,0.242,0.313,.345,0.658,84,1856,107.0,28.0,79.0,41.0,64.0,1132.0
1990,NL,Los Angeles Dodgers,46,29.7,4.49,162,6179,5491,728,1436,222,27,129,669,141.0,65.0,538,952.0,0.262,0.328,.382,0.711,98,2099,110.0,31.0,71.0,48.0,78.0,1132.0
1990,NL,Montreal Expos,44,27.7,4.09,162,6189,5453,662,1363,227,43,114,607,235.0,99.0,576,1024.0,0.25,0.322,.370,0.692,94,2018,96.0,26.0,87.0,47.0,67.0,1126.0
1990,NL,New York Mets,44,27.5,4.78,162,6182,5504,775,1410,278,21,172,734,110.0,33.0,536,851.0,0.256,0.323,.408,0.731,100,2246,89.0,32.0,54.0,56.0,65.0,1114.0
1990,NL,Philadelphia Phillies,43,28.6,3.99,162,6245,5535,646,1410,237,27,103,619,108.0,35.0,582,915.0,0.255,0.327,.363,0.69,91,2010,115.0,30.0,59.0,39.0,92.0,1242.0
1990,NL,Pittsburgh Pirates,46,27.7,4.52,162,6161,5388,733,1395,288,42,138,693,137.0,52.0,582,914.0,0.259,0.33,.405,0.735,105,2181,115.0,24.0,96.0,66.0,64.0,1121.0
1990,NL,San Diego Padres,37,28.6,4.15,162,6218,5554,673,1429,243,35,123,628,138.0,59.0,509,902.0,0.257,0.32,.380,0.7,92,2111,117.0,28.0,79.0,48.0,75.0,1139.0
1990,NL,San Francisco Giants,51,29.1,4.44,162,6216,5573,719,1459,221,35,152,681,109.0,56.0,488,973.0,0.262,0.323,.396,0.718,101,2206,83.0,33.0,76.0,45.0,61.0,1167.0
1990,NL,St. Louis Cardinals,43,29.4,3.7,162,6127,5462,599,1398,255,41,73,554,221.0,74.0,517,844.0,0.256,0.32,.358,0.678,87,1954,101.0,21.0,77.0,50.0,54.0,1164.0
1990,AL,Baltimore Orioles,47,27.3,4.16,161,6223,5410,669,1328,234,22,132,623,94.0,52.0,660,962.0,0.245,0.33,.370,0.7,99,2002,131.0,40.0,72.0,41.0,50.0,1230.0
1990,AL,Boston Red Sox,43,28.9,4.31,162,6234,5516,699,1502,298,31,106,660,53.0,52.0,598,795.0,0.272,0.344,.395,0.739,104,2180,174.0,28.0,48.0,44.0,59.0,1233.0
1990,AL,California Angels,43,29.8,4.26,162,6267,5570,690,1448,237,27,147,646,69.0,43.0,566,1000.0,0.26,0.329,.391,0.72,104,2180,142.0,28.0,58.0,45.0,41.0,1202.0
1990,AL,Chicago White Sox,37,27.6,4.21,162,6038,5402,682,1393,251,44,106,637,140.0,90.0,478,903.0,0.258,0.32,.379,0.699,97,2050,112.0,36.0,75.0,47.0,50.0,1044.0
1990,AL,Cleveland Indians,44,27.3,4.52,162,6087,5485,732,1465,266,41,110,675,107.0,52.0,458,836.0,0.267,0.324,.391,0.714,100,2143,122.0,29.0,54.0,61.0,33.0,1061.0
1990,AL,Detroit Tigers,43,30.7,4.63,162,6224,5479,750,1418,241,32,172,714,82.0,57.0,634,952.0,0.259,0.337,.409,0.746,107,2239,139.0,34.0,36.0,41.0,44.0,1175.0
1990,AL,Kansas City Royals,46,29.8,4.39,161,6099,5488,707,1465,316,44,100,660,107.0,62.0,498,879.0,0.267,0.328,.395,0.723,104,2169,132.0,27.0,31.0,54.0,32.0,1123.0
1990,AL,Milwaukee Brewers,43,29.5,4.52,162,6185,5503,732,1408,247,36,128,680,164.0,72.0,519,821.0,0.256,0.32,.384,0.704,98,2111,101.0,33.0,59.0,71.0,46.0,1106.0
1990,AL,Minnesota Twins,39,29.5,4.11,162,6086,5499,666,1458,281,39,100,625,96.0,53.0,445,749.0,0.265,0.324,.385,0.708,93,2117,148.0,53.0,40.0,49.0,32.0,1097.0
1990,AL,New York Yankees,43,28.2,3.72,162,6037,5483,603,1322,208,19,147,561,119.0,45.0,427,1027.0,0.241,0.3,.366,0.667,86,2009,114.0,53.0,37.0,36.0,41.0,1060.0
1990,AL,Oakland Athletics,40,29.1,4.52,162,6240,5433,733,1379,209,22,164,693,141.0,54.0,651,992.0,0.254,0.336,.391,0.727,108,2124,122.0,46.0,60.0,48.0,38.0,1195.0
