newspaper,league,date,url
The Cheyenne daily leader. [volume],players league,1890-07-16,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-07-16/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-05-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-25/ed-1/seq-14.pdf
The West Virginian. [volume],players league,1915-01-30,https://chroniclingamerica.loc.gov/lccn/sn86072054/1915-01-30/ed-1/seq-6.pdf
Atlanta Georgian. [volume],players league,1913-01-09,https://chroniclingamerica.loc.gov/lccn/sn89053729/1913-01-09/ed-5/seq-10.pdf
The evening world. [volume],players league,1891-04-22,https://chroniclingamerica.loc.gov/lccn/sn83030193/1891-04-22/ed-1/seq-3.pdf
The Cheyenne daily leader. [volume],players league,1890-06-10,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-06-10/ed-1/seq-2.pdf
Audubon County journal.,players league,1911-08-17,https://chroniclingamerica.loc.gov/lccn/sn87057934/1911-08-17/ed-1/seq-2.pdf
The Cheyenne daily leader. [volume],players league,1893-05-27,https://chroniclingamerica.loc.gov/lccn/sn86072173/1893-05-27/ed-1/seq-4.pdf
The evening times. [volume],players league,1910-03-30,https://chroniclingamerica.loc.gov/lccn/sn85042373/1910-03-30/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1890-04-01,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-01/ed-1/seq-6.pdf
St. Paul daily globe. [volume],players league,1890-03-02,https://chroniclingamerica.loc.gov/lccn/sn90059522/1890-03-02/ed-1/seq-6.pdf
The Saint Paul globe.,players league,1902-01-05,https://chroniclingamerica.loc.gov/lccn/sn90059523/1902-01-05/ed-1/seq-9.pdf
The Cheyenne daily leader. [volume],players league,1890-12-28,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-12-28/ed-1/seq-3.pdf
The Cheyenne daily leader. [volume],players league,1890-08-12,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-08-12/ed-1/seq-4.pdf
The Cheyenne daily leader. [volume],players league,1890-10-07,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-10-07/ed-1/seq-4.pdf
The Detroit times. [volume],players league,1910-11-26,https://chroniclingamerica.loc.gov/lccn/sn83016689/1910-11-26/ed-2/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-09-16,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-16/ed-1/seq-6.pdf
The Bridgeport evening farmer. [volume],players league,1915-07-24,https://chroniclingamerica.loc.gov/lccn/sn84022472/1915-07-24/ed-1/seq-10.pdf
The Montgomery advertiser. [volume],players league,1914-12-05,https://chroniclingamerica.loc.gov/lccn/sn84020645/1914-12-05/ed-1/seq-9.pdf
The Helena independent. [volume],players league,1890-05-31,https://chroniclingamerica.loc.gov/lccn/sn83025308/1890-05-31/ed-1/seq-6.pdf
The Salt Lake herald. [volume],players league,1889-12-22,https://chroniclingamerica.loc.gov/lccn/sn85058130/1889-12-22/ed-1/seq-13.pdf
The Minneapolis journal. [volume],players league,1906-02-04,https://chroniclingamerica.loc.gov/lccn/sn83045366/1906-02-04/ed-1/seq-45.pdf
The Montgomery advertiser. [volume],players league,1915-01-21,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-01-21/ed-1/seq-8.pdf
The Richmond palladium and sun-telegram. [volume],players league,1921-04-25,https://chroniclingamerica.loc.gov/lccn/sn86058226/1921-04-25/ed-1/seq-11.pdf
Fisherman & farmer. [volume],players league,1890-09-12,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-09-12/ed-1/seq-3.pdf
Fisherman & farmer. [volume],players league,1890-10-24,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-10-24/ed-1/seq-3.pdf
Waterbury evening Democrat. [volume],players league,1890-08-07,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-08-07/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-10-23,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-10-23/ed-1/seq-1.pdf
The sun. [volume],players league,1918-04-21,https://chroniclingamerica.loc.gov/lccn/sn83030431/1918-04-21/ed-1/seq-87.pdf
The Gem worker and the Idaho labor herald.,players league,1914-12-31,https://chroniclingamerica.loc.gov/lccn/sn88056075/1914-12-31/ed-1/seq-5.pdf
The Bridgeport evening farmer. [volume],players league,1916-06-30,https://chroniclingamerica.loc.gov/lccn/sn84022472/1916-06-30/ed-1/seq-13.pdf
Pittsburg dispatch. [volume],players league,1890-04-20,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-20/ed-1/seq-14.pdf
Evening journal. [volume],players league,1890-10-04,https://chroniclingamerica.loc.gov/lccn/sn85042354/1890-10-04/ed-1/seq-1.pdf
The Wichita daily eagle. [volume],players league,1891-01-16,https://chroniclingamerica.loc.gov/lccn/sn82014635/1891-01-16/ed-1/seq-6.pdf
The Cheyenne daily leader. [volume],players league,1890-11-02,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-11-02/ed-1/seq-4.pdf
