newspaper,league,date,url
The Indianapolis times. [volume],negro national league,1923-05-04,https://chroniclingamerica.loc.gov/lccn/sn82015313/1923-05-04/ed-1/seq-13.pdf
The Michigan chronicle. [volume],negro national league,1943-06-19,https://chroniclingamerica.loc.gov/lccn/sn83045324/1943-06-19/ed-1/seq-20.pdf
The Phoenix index.,negro national league,1942-08-15,https://chroniclingamerica.loc.gov/lccn/sn96060866/1942-08-15/ed-1/seq-6.pdf
The Detroit tribune.,negro national league,1939-08-26,https://chroniclingamerica.loc.gov/lccn/sn92063852/1939-08-26/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1949-05-14,https://chroniclingamerica.loc.gov/lccn/sn92063852/1949-05-14/ed-1/seq-13.pdf
Evening star. [volume],negro national league,1943-07-02,https://chroniclingamerica.loc.gov/lccn/sn83045462/1943-07-02/ed-1/seq-17.pdf
The Chicago whip.,negro national league,1922-06-24,https://chroniclingamerica.loc.gov/lccn/sn86056950/1922-06-24/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1942-05-30,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-05-30/ed-1/seq-14.pdf
The Waterbury Democrat. [volume],negro national league,1935-05-17,https://chroniclingamerica.loc.gov/lccn/sn82014085/1935-05-17/ed-1/seq-25.pdf
The Washington times. [volume],negro national league,1938-05-11,https://chroniclingamerica.loc.gov/lccn/sn84026749/1938-05-11/ed-1/seq-26.pdf
The Washington tribune. [volume],negro national league,1924-10-11,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-10-11/ed-1/seq-4.pdf
The Washington times. [volume],negro national league,1935-08-15,https://chroniclingamerica.loc.gov/lccn/sn84026749/1935-08-15/ed-1/seq-28.pdf
The Chicago whip.,negro national league,1921-04-09,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-04-09/ed-1/seq-7.pdf
The Washington tribune. [volume],negro national league,1924-01-19,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-01-19/ed-1/seq-4.pdf
